Word,Hindi Meaning
against,के खिलाफ
things,चीज़ें
get,प्राप्त
ever,कभी
give,देना
god,परमेश्वर
years,वर्षों
off,बंद
face,चेहरा
nothing,कुछ नहीं
right,सही
once,एक बार
another,दूसरा
left,बाएं
part,अंश
saw,देखा
house,मकान
world,दुनिया
head,सिर
three,तीन
took,ले लिया
new,नया
love,प्यार
always,हमेशा
Mrs,श्रीमती
put,रखना
night,रात
each,प्रत्येक
king,राजा
between,के बीच
tell,बताना
mind,मन
heart,हृदय
few,कुछ
because,इसलिये
thing,चीज़
whom,किसको
far,दूर
seemed,प्रतीत हुआ
looked,देखा
called,बुलाया
whole,पूरे
de,डे
set,समूह
both,दोनों
got,प्राप्त
find,पाना
done,किया हुआ
heard,सुना
look,देखना
name,नाम
days,दिन
told,कहा
let,होने देना
lord,भगवान
country,देश
asked,पूछा
going,जा रहा है
seen,देखा गया
better,बेहतर
p,पी
having,रखना
home,घर
knew,जानता था
side,पक्ष
something,कुछ
moment,पल
father,पिता
among,के बीच
course,पाठ्यक्रम
hands,हाथ
woman,महिला
enough,पर्याप्त
words,शब्दों
mother,मां
soon,जल्द ही
full,भरा हुआ
end,समाप्त
gave,दिया
room,कमरा
almost,लगभग
small,छोटा
thou,तुम
cannot,नही सकता
water,पानी
want,चाहते हैं
however,हालांकि
light,रोशनी
quite,पूर्णतया
brought,लाया
nor,न
word,शब्द
whose,किसका
given,दिया गया
door,द्वार
best,श्रेष्ठ
turned,बदल गया
taken,लिया
does,करता है
use,उपयोग
morning,प्रभात
myself,खुद
Gutenberg,गुटेनबर्ग
felt,अनुभूत
until,तक
since,जबसे
power,शक्ति
themselves,खुद
used,उपयोग किया गया
rather,बल्कि
began,शुरू किया
present,वर्तमान
voice,आवाज़
others,अन्य
white,सफेद
works,काम करता है
less,कम
money,पैसे
next,अगला
poor,गरीब
death,मौत
stood,खड़ा हुआ
form,प्रपत्र
within,अंदर
together,साथ में
till,तक
thy,तेरा
large,विशाल
matter,मामला
kind,मेहरबान
often,अक्सर
certain,निश्चित
herself,स्वयं
year,साल
friend,दोस्त
half,आधा
order,गण
round,गोल
TRUE,सच
anything,कुछ भी
keep,रखना
sent,भेजा गया
wife,बीवी
means,साधन
believe,मानना
passed,उत्तीर्ण
feet,पैर
near,पास
public,जनता
state,राज्य
son,बेटा
hundred,सौ
children,बच्चे
thus,इस प्रकार
hope,आशा
alone,अकेला
above,के ऊपर
case,मामला
dear,प्रिय
thee,तेरा
says,कहते हैं
person,व्यक्ति
high,उच्च
read,पढ़ना
city,शहर
already,पहले से ही
received,प्राप्त किया
fact,तथ्य
gone,चला गया
girl,लड़की
known,ज्ञात
hear,सुनो
times,बार
least,कम से कम
perhaps,शायद
sure,ज़रूर
indeed,वास्तव में
english,अंग्रेज़ी
open,खोलना
body,तन
itself,अपने आप
along,साथ-साथ
land,भूमि
return,वापसी
leave,छुट्टी
air,वायु
nature,प्रकृति
answered,जवाब
either,या
law,कानून
help,मदद करना
lay,धूल में मिलना
point,बिंदु
child,बच्चा
letter,पत्र
four,चार
wish,तमन्ना
fire,आग
cried,रोया
2,2
women,औरत
speak,बोलना
number,संख्या
therefore,इसलिए
hour,घंटा
friends,दोस्त
held,आयोजित
free,नि: शुल्क
war,युद्ध
during,दौरान
several,कई
business,व्यापार
whether,या
er,एर
manner,तौर-तरीका
second,दूसरा
reason,कारण
replied,ने उत्तर दिया
united,संयुक्त
call,बुलाना
general,सामान्य
why,क्यों
behind,पीछे
became,बन गया
john,जॉन
become,बनना
dead,मृत
earth,धरती
boy,लड़का
lost,गुम हो गया
forth,आगे
thousand,हज़ार
looking,देखना
I'll,बीमार
family,परिवार
soul,आत्मा
feel,अनुभव करना
coming,आ रहा
England,इंगलैंड
spirit,आत्मा
question,प्रश्न
care,ध्यान
truth,सत्य
ground,मैदान
really,वास्तव में
rest,विश्राम
mean,अर्थ
different,विभिन्न
making,निर्माण
possible,संभव के
fell,गिर गया
towards,की ओर
human,मानव
kept,रखा
short,कम
town,नगर
following,निम्नलिखित
need,जरुरत
cause,कारण
met,मुलाकात की
evening,शाम
returned,लौटाया हुआ
five,पांच
strong,बलवान
able,काबिल
french,फ्रांसीसी
live,लाइव
lady,महिला
subject,विषय
sn,एस.एन.
answer,उत्तर
sea,समुद्र
fear,डर
understand,समझना
hard,कठिन
terms,शर्तें
doubt,शक
around,चारों ओर
ask,पूछना
arms,हथियारों
turn,मोड़
sense,विवेक
seems,प्रतीत
black,काला
bring,लाओ
followed,पीछा किया
beautiful,सुंदर
close,बंद करना
dark,अँधेरा
hold,पकड़
character,चरित्र
sort,क्रम से लगाना
sight,दृश्य
ten,दस
show,प्रदर्शन
party,समारोह
fine,ठीक
ye,तु
ready,तैयार
story,कहानी
common,सामान्य
book,किताब
electronic,इलेक्ट्रोनिक
talk,बात करना
account,खाता
mark,निशान
interest,रुचि
written,लिखा हुआ
can't,नहीं कर सकता
bed,बिस्तर
necessary,ज़रूरी
age,आयु
else,वरना
force,ताकत
idea,विचार
longer,लंबे समय तक
art,कला
spoke,स्पोक
across,आर-पार
brother,भाई
early,जल्दी
ought,चाहिए
sometimes,कभी-कभी
line,रेखा
saying,कह रहा
table,मेज़
appeared,दिखाई दिया
river,नदी
continued,निरंतर
eye,आँख
ety,ईटी
sun,रवि
information,जानकारी
later,बाद में
everything,हर चीज़
reached,पहुंच गए
suddenly,अचानक से
past,अतीत
hours,घंटे
strange,अनोखा
deep,गहरा
change,परिवर्तन
miles,मील की दूरी पर
feeling,भावना
act,कार्यवाही करना
meet,मिलना
paid,भुगतान किया है
further,आगे
purpose,उद्देश्य
happy,प्रसन्न
added,जोड़ा
seem,प्रतीत होना
taking,ले रहा
blood,रक्त
rose,गुलाब
south,दक्षिण
beyond,आगे
cold,ठंडा
neither,न
forward,आगे
view,दृश्य
I've,मैंने
position,स्थान
sound,ध्वनि
none,कोई भी नहीं
entered,प्रवेश किया
clear,स्पष्ट
road,सड़क
late,स्वर्गीय
stand,स्टैंड
suppose,मान लीजिए
la,ला
daughter,बेटी
real,वास्तविक
nearly,लगभग
mine,मेरा
laws,कानून
knowledge,ज्ञान
comes,आता हे
toward,की ओर
bad,बुरा
cut,कट गया
copy,प्रतिलिपि
husband,पति
six,छह
France,फ्रांस
living,जीविका
peace,शांति
didn't,नहीं था
low,कम
north,उत्तर
remember,याद करना
effect,प्रभाव
natural,प्राकृतिक
pretty,सुंदर
fall,गिरना
fair,निष्पक्ष
service,सर्विस
below,नीचे
except,के अलावा
American,अमेरिकन
hair,केश
London,लंडन
laid,लिटा देना
pass,रास्ता
led,एलईडी
copyright,कॉपीराइट
doing,करते हुए
army,सेना
run,दौड़ना
horse,घोड़ा
future,भविष्य
opened,खुल गया
pleasure,आनंद
history,इतिहास
west,पश्चिम
pay,भुगतान करना
red,लाल
an',एक'
4,4
hath,हाथ
note,टिप्पणी
although,यद्यपि
wanted,चाहता था
gold,सोना
makes,बनाता है
desire,इच्छा
play,प्ले Play
master,मालिक
office,कार्यालय
tried,कोशिश की
front,सामने
big,बड़ा
Dr,डॉ
lived,रहते थे
certainly,निश्चित रूप से
wind,हवा
receive,प्राप्त करना
attention,ध्यान
government,सरकार
unto,पर्यत
church,गिरजाघर
strength,ताकत
length,लंबाई
company,कंपनी
placed,रखा हे
paper,कागज़
letters,पत्र
probably,संभवत
glad,प्रसन्न
important,महत्वपूर्ण
especially,विशेषकर
greater,ग्रेटर
yourself,स्वयं
fellow,साथी
bear,सहना
opinion,राय
window,खिड़की
ran,दौड़ा
faith,आस्था
ago,पहले
agreement,समझौता
charge,शुल्क
beauty,सुंदरता
lips,होंठ
remained,बने रहे
arm,बाजू
latter,बाद वाला
duty,कर्तव्य
send,भेजना
distance,दूरी
silence,शांति
foot,पैर
wild,जंगली
object,वस्तु
die,मरना
save,सहेजें
gentleman,सज्जन
trees,पेड़
green,हरा
trouble,मुसीबत
smile,मुस्कुराओ
books,पुस्तकें
wrong,गलत
various,विभिन्न
sleep,सोना
persons,व्यक्तियों
blockquote,ब्लॉककोट
happened,हो गई
particular,विशिष्ट
drew,ड्रयू
minutes,मिनट
hardly,मुश्किल से
walked,चला
chief,मुखिया
chance,मोका
according,अनुसार
beginning,शुरुआत
action,गतिविधि
deal,सौदा
loved,प्यार किया
visit,मुलाकात
thinking,विचार
follow,पालन ​​करना
standing,खड़ा है
knows,जानता है
try,प्रयत्न
presence,उपस्थिति
heavy,अधिक वज़नदार
sweet,मीठा
plain,मैदान
donations,दान
immediately,तुरंत
wrote,लिखा था
mouth,मुँह
rich,धनी
thoughts,विचार
months,महीने
u,यू
won't,नहीं होगा
afraid,डरना
Paris,पेरिस
single,एक
joy,हर्ष
enemy,शत्रु
broken,टूटी हुई
unless,जब तक
states,राज्यों
ship,समुंद्री जहाज
condition,स्थि‍ति
carry,ले जाना
exclaimed,कहा
including,समेत
filled,भर ग्या
seeing,देख के
influence,प्रभाव
write,लिखना
boys,लड़के
appear,के जैसा लगना
outside,बाहर
secret,गुप्त
parts,पार्ट्स
please,कृपया
appearance,दिखावट
evil,बुराई
march,मार्च
George,जॉर्ज
whatever,जो भी हो
slowly,धीरे से
tears,आँसू
horses,घोड़ों
places,स्थान
caught,पकड़े गए
stay,रहना
instead,बजाय
struck,मारना
blue,नीला
York,यॉर्क
impossible,असंभव
period,अवधि
sister,बहन
battle,युद्ध
school,स्कूल
Mary,मेरी
raised,बढ़ाया गया
occasion,अवसर
married,विवाहित
man's,पुस्र्ष का
former,भूतपूर्व
food,भोजन
youth,युवा
learned,सीखा
merely,सिर्फ़
reach,पहुंच
system,व्यवस्था
twenty,बीस
dinner,रात का खाना
quiet,चुप
easily,सरलता
moved,ले जाया गया
afterwards,उसके बाद
giving,दे रही है
walk,टहल लो
stopped,रोका हुआ
laughed,हँसे
language,भाषा: हिन्दी
expression,अभिव्यक्ति
week,सप्ताह
hall,बड़ा कमरा
danger,खतरा
property,संपत्ति
wonder,आश्चर्य
usual,सामान्य
figure,आकृति
born,पैदा होना
court,कोर्ट
generally,आम तौर पर
grew,बढ़ी
showed,दिखाया है
getting,पाना
ancient,प्राचीन
respect,आदर
third,तीसरा
worth,कीमत
simple,सरल
tree,पेड़
leaving,छोड़ने
remain,अवशेष
society,समाज
fight,लड़ाई
wall,दीवार
result,नतीजा
heaven,स्वर्ग
William,विलियम
started,शुरू किया गया
command,आज्ञा
tone,सुर
regard,संबद्ध
expected,अपेक्षित होना
mere,मात्र
month,महीना
beside,पास
silent,चुपचाप
perfect,उत्तम
experience,अनुभव
street,सड़क
writing,लिख रहे हैं
goes,जाता है
circumstances,परिस्थितियां
entirely,पूरी तरह से
fresh,ताज़ा
duke,शासक
covered,ढका हुआ
bound,अवश्यंभावी
east,पूर्व
wood,लकड़ी
stone,पथरी
quickly,तुरंत
notice,सूचना
bright,चमकदार
Christ,ईसा मसीह
boat,नाव
noble,महान
meant,मतलब
somewhat,कुछ हद तक
sudden,अचानक
value,मूल्य
c.,सी।
direction,दिशा
chair,कुर्सी
due,बकाया
support,सहयोग
tom,टॉम
date,दिनांक
waiting,प्रतीक्षा करना
Christian,ईसाई
village,गाँव rajnagar
lives,ज़िंदगियाँ
reading,पढ़ना
agree,सहमत होना
lines,पंक्तियां
considered,सोच-विचार किया हुआ
field,खेत
observed,देखा
scarcely,शायद ही
wished,कामना
wait,रुको
greatest,महानतम
permission,अनुमति
success,सफलता
piece,टुकड़ा
British,अंग्रेजों
ex,भूतपूर्व
Charles,चार्ल्स
formed,बनाया
speaking,बोला जा रहा है
trying,कोशिश कर रहे हैं
conversation,बातचीत
proper,उचित
hill,पहाड़ी
music,संगीत
opportunity,अवसर
that's,वह है
German,जर्मन
afternoon,दोपहर बाद
cry,रोना
cost,लागत
allowed,अनुमत
girls,लड़कियाँ
considerable,विचारणीय
c,सी
broke,टूट गया
honour,सम्मान
seven,सात
private,निजी
sit,बैठिये
news,समाचार
top,ऊपर
scene,दृश्य
discovered,की खोज की
marriage,विवाह
step,कदम
garden,बगीचा
race,जाति
begin,शुरू करना
per,प्रति
individual,व्यक्तिगत
sitting,बैठक
learn,सीखना
political,राजनीतिक
difficult,कठिन
bit,काटा
speech,भाषण
Henry,हेनरी
lie,लेट जाना
cast,फेंकना
eat,खाना खा लो
authority,प्राधिकरण
etc.,आदि।
floor,मंज़िल
ill,बीमार
ways,तरीके
officers,अधिकारियों
offered,की पेशकश की
original,मूल
happiness,ख़ुशी
flowers,पुष्प
produced,प्रस्तुत
summer,गर्मी
provide,प्रदान करना
study,अध्ययन
religion,धर्म
picture,चित्र
walls,दीवारों
personal,व्यक्तिगत
America,अमेरिका
watch,घड़ी
pleased,प्रसन्न
leaves,पत्तियाँ
declared,घोषित
hot,गरम
understood,समझ लिया
effort,कोशिश
prepared,तैयार
escape,बच निकलना
attempt,कोशिश करना
supposed,कल्पित
killed,मारे गए
fast,तेज़
author,लेखक
Indian,भारतीय
brown,भूरा
determined,निर्धारित
pain,दर्द
spring,वसंत
takes,लेता है
drawn,अनिर्णित
soldiers,सैनिकों
houses,मकानों
beneath,नीचे
talking,बात कर रहे
turning,मोड़
century,सदी
steps,कदम
intended,अभीष्ट
soft,मुलायम
straight,सीधा
matters,मामलों
likely,संभावित
corner,कोना
trademark,ट्रेडमार्क
justice,न्याय
simply,केवल
produce,उत्पाद
trust,विश्वास
appears,दिखाई पड़ना
Rome,रोम
laugh,हंसना
forget,भूल जाओ
Europe,यूरोप
passage,रास्ता
eight,आठ
closed,बंद किया हुआ
ourselves,हम स्वयं
gives,देता है
dress,पोशाक
passing,मृत्यु
terrible,भयानक
required,आवश्यक
medium,मध्यम
efforts,प्रयास
sake,खातिर
breath,सांस
wise,ढंग
ladies,महिलाओं
possession,स्वामित्व
pleasant,सुखद
perfectly,पूरी तरह से
o',o '
memory,स्मृति
usually,आमतौर पर
grave,गंभीर
fixed,हल किया गया
modern,आधुनिक
spot,स्थान
troops,सैनिकों
rise,वृद्धि
break,टूटना
fifty,पचास
island,द्वीप
meeting,बैठक
camp,शिविर
nation,राष्ट्र
existence,अस्तित्व
reply,जवाब दे दो
I'd,पहचान
copies,प्रतियां
sky,आकाश
touch,स्पर्श
equal,बराबर
fortune,सौभाग्य
v.,वी
shore,किनारा
domain,कार्यक्षेत्र
named,नामित
situation,परिस्थिति
looks,दिखता है
promise,पक्का वादा
orders,आदेश
degree,डिग्री
middle,मध्यम
winter,सर्दी
plan,योजना
spent,खर्च किया
allow,अनुमति
pale,फीका
conduct,आचरण
running,दौड़ना
religious,धार्मिक
surprise,आश्चर्य
minute,मिनट
roman,रोमन
cases,मामलों
shot,गोली मारना
lead,प्रमुख
move,कदम
names,नाम
Word,शब्द
stop,विराम
higher,उच्चतर
et,एट
father's,पिता की
threw,फेक दिया
worse,और भी बुरा
built,बनाना
spoken,बोली जाने
glass,कांच
board,मंडल
vain,व्यर्थ
affairs,कार्य
instance,उदाहरण
safe,सुरक्षित
loss,हानि
doctor,चिकित्सक
offer,प्रस्ताव
class,कक्षा
complete,पूरा
access,पहुँच
lower,निचला
wouldn't,नहीं
repeated,दोहराया गया
forms,फार्म
darkness,अंधेरा
military,सैन्य
warm,गरम
drink,पीना
passion,जोश
ones,लोगों
physical,शारीरिक
example,उदाहरण
ears,कान
questions,प्रशन
start,प्रारंभ
lying,लेटा हुआ
smiled,मुस्कराए
keeping,रखना
spite,विरोध
shown,पता चला
directly,सीधे
james,जेम्स
hart,हिरन
serious,गंभीर
hat,टोपी
dog,कुत्ता
silver,चांदी
sufficient,पर्याप्त
main,मुख्य
mentioned,उल्लिखित
servant,नौकर
pride,गौरव
crowd,जन सैलाब
train,रेल गाडी
wonderful,प्रशंसनीय
moral,नैतिक
instant,तुरंत
associated,संबद्ध
path,रास्ता
greek,यूनानी
meaning,अर्थ
fit,उपयुक्त
ordered,आदेश दिया
lot,बहुत
he's,वह है
proved,साबित
obliged,बाध्य
enter,प्रवेश करना
rule,नियम
sword,तलवार
attack,हमला
seat,सीट
game,खेल
health,स्वास्थ्य
paragraph,अनुच्छेद
statement,बयान
social,सामाजिक
refund,धनवापसी
sorry,माफ़ करना
courage,साहस
members,सदस्यों
grace,कृपा
official,अधिकारी
dream,सपना
worthy,योग्य
rock,चट्टान
jack,जैक
provided,बशर्ते
special,विशेष
shook,हिलाया
request,अनुरोध
mighty,ताकतवर
glance,नज़र
heads,सिर
movement,गति
fee,शुल्क
share,शेयर करना
expect,अपेक्षा करना
couldn't,नहीं कर सका
dollars,डॉलर
spread,फैला हुआ
opposite,विलोम
glory,वैभव
twelve,बारह
space,अंतरिक्ष
engaged,व्यस्त
peter,पीटर
wine,शराब
ordinary,साधारण
mountains,पहाड़ों
taste,स्वाद
iron,लोहा
isn't,नहीं है
distribute,बांटो
trade,व्यापार
consider,विचार करना
greatly,बहुत
accepted,को स्वीकृत
forced,मजबूर
advantage,फायदा
ideas,विचारों
decided,निर्णय लिया
using,का उपयोग करते हुए
officer,अफ़सर
rate,भाव
clothes,कपड़े
sign,संकेत
feelings,भावना
native,देशी
promised,वादा किया
judge,न्यायाधीश
difference,अंतर
working,कार्यरत
anxious,चिंतित
marry,शादी कर
captain,कप्तान
finished,खत्म
extent,क्षेत्र
watched,देखा
curious,जिज्ञासु
foreign,विदेशी
besides,के अतिरिक्त
method,तरीका
excellent,अति उत्कृष्ट
confidence,आत्मविश्वास
marked,चिह्नित
em,एम
jesus,यीशु
exactly,बिल्कुल
importance,महत्त्व
finally,आखिरकार
bill,बिल
vast,बहुत बड़ा
prove,सिद्ध करना
fancy,कल्पना
quick,झटपट
yes,हां
sought,मांग की
prevent,रोकना
neck,गरदन
hearts,दिल
liberty,स्वतंत्रता
interesting,दिलचस्प
sides,पक्षों
legal,कानूनी
gentlemen,सज्जनों
dry,सूखा
serve,सेवा कर
aside,अलग
pure,शुद्ध
concerning,विषय में
forgotten,भूल गई
lose,खोना
powers,शक्तियों
possessed,अधीन
thrown,फेंक दिया
evidence,प्रमाण
distant,दूरस्थ
Michael,माइकल
progress,प्रगति
similar,एक जैसा
narrow,संकीर्ण
altogether,कुल मिलाकर
building,इमारत
page,पृष्ठ
particularly,विशेषतया
knowing,ज्ञान
weeks,हफ्तों
settled,बसे हुए
holding,पकड़े
mountain,पहाड़
search,तलाशी
sad,उदास
sin,पाप
lies,झूठ
proud,गर्व
pieces,टुकड़े
clearly,स्पष्ट रूप से
price,कीमत
ships,जहाजों
thirty,तीस
sick,बीमार
honest,ईमानदार
shut,बंद करना
talked,बातचीत की
bank,बैंक
fate,भाग्य
dropped,छोड़ा हुआ
judgment,प्रलय
conditions,स्थितियाँ
king's,किंग्स
accept,मानना
hills,हिल्स
removed,निकाला गया
forest,वन
measure,मापना
species,प्रजातियाँ
seek,मांगना
highest,उच्चतम
otherwise,अन्यथा
stream,धारा
honor,सम्मान
carefully,सावधानी से
obtained,पाया हुआ
ear,कान
bread,रोटी
bottom,नीचे
additional,अतिरिक्त
presented,पेश किया
aid,सहायता
fingers,उंगलियों
q,क्यू
remembered,याद आई
choose,चुनें
agreed,मान गया
animal,जानवर
events,आयोजन
there's,वहाँ है
fully,पूरी तरह से
delight,आनंद
rights,अधिकार
amount,रकम
obtain,प्राप्त
tax,कर
servants,नौकरों
sons,बेटों
cross,पार
shoulders,कंधों
thick,मोटा
points,अंक
stranger,अजनबी
woods,वुड्स
facts,तथ्य
dare,हिम्मत
grow,बढ़ना
creature,जंतु
hung,त्रिशंकु
rain,वर्षा
FALSE,असत्य
tall,लंबा
gate,दरवाज़ा
nations,राष्ट्र का
created,बनाया था
refused,मना कर दिया
quietly,चुपचाप
surface,सतह
freely,आज़ादी से
holy,पवित्र
streets,सड़कों
blow,फुंक मारा
july,जुलाई
regarded,माना
fashion,फ़ैशन
report,रिपोर्ट good
coast,तट
daily,रोज
file,फ़ाइल
shoulder,कंधा
surprised,आश्चर्य चकित
faces,चेहरे के
succeeded,सफल हुए
birds,पक्षियों
distribution,वितरण
royal,शाही
song,गाना
wealth,संपत्ति
comfort,आराम
failed,असफल
freedom,स्वतंत्रता
peculiar,विचित्र
anyone,किसी को
advance,अग्रिम
gentle,सज्जन
surely,निश्चित रूप से
animals,जानवरों
waited,प्रतीक्षा की
secure,सुरक्षित
desired,इच्छित
grass,घास
touched,छुआ
occupied,व्यस्त
draw,चित्र बनाना
stage,मंच
portion,हिस्से
expressed,व्यक्त
opening,प्रारंभिक
june,जून
spirits,आत्माओं
fish,मछली
tongue,जुबान
capital,राजधानी
angry,नाराज़
growing,बढ़ रही है
served,सेवित
carriage,सवारी डिब्बा
weather,मौसम
breast,स्तन
presently,इस समय
snow,बर्फ
David,डेविड
papers,पत्रों
necessity,ज़रूरत
practice,अभ्यास
claim,दावा
hast,ने
education,शिक्षा
sharp,तीखा
prince,राजकुमार
permitted,अनुमति है
group,समूह
enemies,दुश्मनों
robert,रॉबर्ट
played,खेला
throughout,हर जगह
pity,दया
expense,व्यय
yours,आपका अपना
million,दस लाख
add,जोड़ें
pray,प्रार्थना करना
taught,सिखाया हुआ
explained,व्याख्या की
tired,थका हुआ
leading,प्रमुख
kill,मारना
shadow,साया
companion,साथी
weight,वजन
mass,द्रव्यमान
established,स्थापित
suffered,का सामना करना पड़ा
gray,स्लेटी
brave,बहादुर
thin,पतला
satisfied,संतुष्ट
check,जांच
virtue,गुण
golden,स्वर्ण
numerous,बहुत
frequently,बार-बार
famous,प्रसिद्ध
telling,कह
powerful,ताकतवर
alive,जीवित
waters,वाटर्स
national,राष्ट्रीय
weak,कमज़ोर
divine,दिव्य
material,सामग्री
principal,प्रधानाचार्य
gathered,इकट्ठा
suggested,सुझाव दिया
frank,स्पष्टवादी
valley,घाटी
guess,अनुमान लगाना
finding,खोज
yellow,पीला
heat,गर्मी
remains,खंडहर
bent,झुका हुआ
seized,जब्त
guard,रक्षक
equally,समान रूप से
naturally,सहज रूप में
box,डिब्बा
remarkable,उत्कृष्ट
gods,भगवान का
moon,चांद
slight,थोड़ा
style,शैली
pointed,नुकीला
saved,बचाया
windows,खिड़कियाँ
crossed,पार
louis,लुइस
pounds,पौंड
ain't,नहीं है
evidently,ज़रूर
principle,सिद्धांत
immediate,तुरंत
willing,इच्छुक
consequence,परिणाम
richard,रिचर्ड
principles,सिद्धांतों
characters,पात्र
paul,पॉल
season,मौसम
remarked,टिप्पणी की
science,विज्ञान
tender,निविदा
worked,काम
grown,वयस्क
whispered,फुसफुसाया हुआ
interested,दिलचस्पी लेने वाला
quarter,त्रिमास
midst,बीच
liked,पसंद किया
advanced,विकसित
apparently,जाहिरा तौर पर
bore,उबा देना
pwh,प्रातोपण
active,सक्रिय
noticed,ध्यान दिया
aware,अवगत
thomas,थॉमस
uncle,चाचा
list,सूची
dangerous,खतरनाक
august,अगस्त
calm,शांत
genius,प्रतिभावान
sacred,पवित्र
kingdom,साम्राज्य
entire,संपूर्ण
popular,लोकप्रिय
unknown,अनजान
nice,अच्छा
habit,आदत
spanish,स्पैनिश
familiar,परिचित
reader,रीडर
published,प्रकाशित
direct,प्रत्यक्ष
handsome,आकर्षक
you'll,आप
joined,में शामिल हो गए
actually,वास्तव में
kings,राजाओं
sd,एसडी
posted,की तैनाती
approach,दृष्टिकोण
Washington,वाशिंगटन
hearing,सुनवाई
needed,आवश्यकता है
increased,बढ़ी हुई
walking,टहलना
twice,दो बार
throw,फेंकना
intellectual,बौद्धिक
appointed,नियुक्त
wisdom,बुद्धि
ceased,रह गए हैं
truly,सही मायने में
numbers,नंबर
demanded,मांग की
priest,पुजारी
wounded,घायल
sorrow,दुख
drive,चलाना
fault,दोष
listened,सुनी
palace,महल
affair,चक्कर
contact,संपर्क Ajay करें
distinguished,विशिष्ट
station,स्टेशन
beat,हराना
distributed,वितरित
e,इ
listen,सुनना
Italy,इटली
fool,बुद्धू
becomes,हो जाता है
watching,देख रहे
hurt,आहत
wants,चाहता हे
express,अभिव्यक्त करना
occurred,हुआ
favour,एहसान
height,कद
size,आकार
edge,किनारा
subjects,विषयों
task,काम
follows,इस प्रकार
interests,रूचियाँ
nine,नौ
sympathy,सहानुभूति
burst,फोड़ना
putting,डाल
dressed,सजे
lifted,उठा लिया
hopes,आशाएँ
suffer,भुगतना
noise,शोर
smiling,मुस्कराते हुए
rode,रोडे
tells,कहता है
minds,मन
farther,आगे
literature,साहित्य
vessel,पतीला
affection,स्नेह
suffering,कष्ट
proceeded,रवाना
flesh,माँस
advice,सलाह
grand,बड़ा
carrying,ले जाने
legs,लेग्स
Spain,स्पेन
post,पद
collection,संग्रह
empty,खाली
rank,पद
storm,आंधी
god's,भगवान का
imagine,कल्पना करना
wore,पहनी थी
duties,कर्तव्य
admitted,स्वीकार किया
countries,देशों
pocket,जेब
arrival,आगमन
imagination,कल्पना
driven,चलाया हुआ
loud,ऊँचा स्वर
sentence,वाक्य
lovely,प्यारा
extraordinary,असाधारण
November,नवंबर
December,दिसंबर
happen,होना
absence,अनुपस्थिति
breakfast,सुबह का नाश्ता
population,आबादी
thank,धन्यवाद देना
rules,नियम
inhabitants,निवासियों
series,श्रृंखला
laughing,हँसना
address,पता
relief,राहत
bird,चिड़िया
owner,मालिक
impression,प्रभाव जमाना
satisfaction,संतुष्टि
coat,परत
prepare,तैयार
relations,संबंधों
shape,आकार
birth,जन्म
rapidly,तेज़ी से
smoke,धुआँ
January,जनवरी
mother+'s,माँ+
machine,मशीन
content,विषय
consideration,सोच-विचार
accompanied,के साथ
regular,नियमित
moving,चलती
stands,खड़ा
wholly,पूर्ण
teeth,दांत
busy,व्यस्त
treated,इलाज
burning,जलता हुआ
shame,शर्म
quality,गुणवत्ता
bay,खाड़ी
discover,खोज करना
inside,अंदर
brain,दिमाग
soil,धरती
