lost,गुम हो गया
forth,आगे
thousand,हज़ार
looking,देखना
I'll,बीमार
family,परिवार
feel,अनुभव करना
coming,आ रहा
England,इंगलैंड
spirit,आत्मा
care,ध्यान
truth,सत्य
ground,मैदान
really,वास्तव में
rest,विश्राम
mean,अर्थ
different,विभिन्न
making,निर्माण
possible,संभव के
fell,गिर गया
towards,की ओर
human,मानव
kept,रखा
short,कम
town,नगर
need,जरुरत
cause,कारण
met,मुलाकात की
evening,शाम
five,पांच
strong,बलवान
able,काबिल
french,फ्रांसीसी
live,लाइव
subject,विषय
sn,एस.एन.
answer,उत्तर
sea,समुद्र
fear,डर
understand,समझना
hard,कठिन
terms,शर्तें
doubt,शक
around,चारों ओर
ask,पूछना
arms,हथियारों
turn,मोड़
sense,विवेक
seems,प्रतीत
black,काला
bring,लाओ
beautiful,सुंदर
dark,अँधेरा
hold,पकड़
character,चरित्र
sort,क्रम से लगाना
sight,दृश्य
ten,दस
show,प्रदर्शन
party,समारोह
fine,ठीक
ye,तु
ready,तैयार
story,कहानी
book,किताब
talk,बात करना
account,खाता
mark,निशान
interest,रुचि
written,लिखा हुआ
can't,नहीं कर सकता
bed,बिस्तर
necessary,ज़रूरी
age,आयु
else,वरना
longer,लंबे समय तक
art,कला
spoke,स्पोक
early,जल्दी
ought,चाहिए
line,रेखा
saying,कह रहा
table,मेज़
appeared,दिखाई दिया
river,नदी
continued,निरंतर
eye,आँख
ety,ईटी
sun,रवि
later,बाद में
everything,हर चीज़
suddenly,अचानक से
hours,घंटे
strange,अनोखा
deep,गहरा
change,परिवर्तन
miles,मील की दूरी पर
feeling,भावना
act,कार्यवाही करना
meet,मिलना
paid,भुगतान किया है
further,आगे
purpose,उद्देश्य
happy,प्रसन्न
added,जोड़ा
seem,प्रतीत होना
taking,ले रहा
blood,रक्त
rose,गुलाब
south,दक्षिण
beyond,आगे
cold,ठंडा
neither,न
forward,आगे
view,दृश्य
I've,मैंने
position,स्थान
sound,ध्वनि
none,कोई भी नहीं
clear,स्पष्ट
road,सड़क
late,स्वर्गीय
stand,स्टैंड
suppose,मान लीजिए
la,ला
daughter,बेटी
real,वास्तविक
nearly,लगभग
mine,मेरा
laws,कानून
knowledge,ज्ञान
comes,आता हे
toward,की ओर
bad,बुरा
cut,कट गया
copy,प्रतिलिपि
husband,पति
France,फ्रांस
living,जीविका
peace,शांति
remember,याद करना
effect,प्रभाव
natural,प्राकृतिक
pretty,सुंदर
fall,गिरना
fair,निष्पक्ष
service,सर्विस
below,नीचे
except,के अलावा
American,अमेरिकन
hair,केश
London,लंडन
pass,रास्ता
led,एलईडी
copyright,कॉपीराइट
army,सेना
run,दौड़ना
horse,घोड़ा
future,भविष्य
opened,खुल गया
pleasure,आनंद
history,इतिहास
west,पश्चिम
pay,भुगतान करना
red,लाल
an',एक'
4,4
hath,हाथ
note,टिप्पणी
although,यद्यपि
wanted,चाहता था
makes,बनाता है
desire,इच्छा
play,प्ले Play
master,मालिक
office,कार्यालय
tried,कोशिश की
front,सामने
big,बड़ा
Dr,डॉ
lived,रहते थे
certainly,निश्चित रूप से
wind,हवा
receive,प्राप्त करना
attention,ध्यान
government,सरकार
unto,पर्यत
church,गिरजाघर
strength,ताकत
length,लंबाई
company,कंपनी
placed,रखा हे
paper,कागज़
probably,संभवत
glad,प्रसन्न
especially,विशेषकर
greater,ग्रेटर
yourself,स्वयं
fellow,साथी
bear,सहना
opinion,राय
window,खिड़की
ran,दौड़ा
faith,आस्था
ago,पहले
agreement,समझौता
lips,होंठ
remained,बने रहे
arm,बाजू
latter,बाद वाला
duty,कर्तव्य
send,भेजना
distance,दूरी
silence,शांति
foot,पैर
wild,जंगली
die,मरना
save,सहेजें
gentleman,सज्जन
trees,पेड़
green,हरा
trouble,मुसीबत
smile,मुस्कुराओ
books,पुस्तकें
wrong,गलत
various,विभिन्न
sleep,सोना
persons,व्यक्तियों
happened,हो गई
particular,विशिष्ट
minutes,मिनट
hardly,मुश्किल से
walked,चला
chief,मुखिया
chance,मोका
according,अनुसार
beginning,शुरुआत
action,doing things or often for a particular purpose
deal,सौदा
loved,प्यार किया
thinking,विचार
follow,पालन करना
standing,खड़ा है
try,प्रयत्न
presence,उपस्थिति
heavy,अधिक वज़नदार
sweet,मीठा
plain,मैदान
donations,दान
immediately,तुरंत
wrote,लिखा था
rich,धनी
thoughts,विचार
months,महीने
u,यू
won't,नहीं होगा
afraid,डरना
Paris,पेरिस
single,एक
joy,हर्ष
enemy,शत्रु
broken,टूटी हुई
unless,जब तक
ship,समुंद्री जहाज
condition,स्थि‍ति
carry,ले जाना
exclaimed,कहा
including,समेत
filled,भर ग्या
seeing,देख के
influence,प्रभाव
write,लिखना
boys,लड़के
appear,के जैसा लगना
outside,बाहर
secret,गुप्त
please,कृपया
march,मार्च
slowly,धीरे से
tears,आँसू
horses,घोड़ों
places,स्थान
caught,पकड़े गए
stay,रहना
struck,मारना
blue,नीला
York,यॉर्क
impossible,असंभव
period,अवधि
sister,बहन
battle,युद्ध
school,स्कूल
Mary,मेरी
raised,बढ़ाया गया
married,विवाहित
former,भूतपूर्व
food,भोजन
youth,युवा
learned,सीखा
merely,सिर्फ़
reach,पहुंच
system,व्यवस्था
twenty,बीस
quiet,चुप
easily,सरलता
moved,ले जाया गया
afterwards,उसके बाद
giving,दे रही है
walk,टहल लो
stopped,रोका हुआ
laughed,हँसे
language,भाषा: हिन्दी
expression,अभिव्यक्ति
week,सप्ताह
danger,खतरा
wonder,आश्चर्य
usual,सामान्य
figure,आकृति
born,पैदा होना
generally,आम तौर पर
grew,बढ़ी
showed,दिखाया है
getting,पाना
ancient,प्राचीन
respect,आदर
third,तीसरा
worth,कीमत
tree,पेड़
leaving,छोड़ने
remain,अवशेष
society,समाज
fight,लड़ाई
wall,दीवार
result,नतीजा
heaven,स्वर्ग
William,विलियम
started,शुरू किया गया
command,आज्ञा
tone,सुर
regard,संबद्ध
expected,अपेक्षित होना
mere,मात्र
month,महीना
beside,पास
silent,चुपचाप
perfect,उत्तम
street,सड़क
writing,लिख रहे हैं
circumstances,परिस्थितियां
entirely,पूरी तरह से
fresh,ताज़ा
duke,शासक
bound,अवश्यंभावी
east,पूर्व
wood,लकड़ी
stone,पथरी
quickly,तुरंत
bright,चमकदार
boat,नाव
noble,महान
somewhat,कुछ हद तक
sudden,अचानक
value,मूल्य
c.,सी।
direction,दिशा
chair,कुर्सी
due,बकाया
support,सहयोग
tom,टॉम
waiting,प्रतीक्षा करना
village,गाँव rajnagar
reading,पढ़ना
agree,सहमत होना
considered,सोच-विचार किया हुआ
observed,देखा
scarcely,शायद ही
wait,रुको
greatest,महानतम
permission,अनुमति
success,सफलता
piece,टुकड़ा
British,अंग्रेजों
ex,भूतपूर्व
Charles,चार्ल्स
formed,बनाया
speaking,बोला जा रहा है
trying,कोशिश कर रहे हैं
conversation,बातचीत
proper,उचित
hill,पहाड़ी
music,संगीत
opportunity,अवसर
that's,वह है
German,जर्मन
afternoon,दोपहर बाद
cry,रोना
cost,लागत
allowed,अनुमत
girls,लड़कियाँ
considerable,विचारणीय
c,सी
broke,टूट गया
honour,सम्मान
seven,सात
private,निजी
news,समाचार
top,ऊपर
scene,दृश्य
discovered,की खोज की
marriage,विवाह
step,कदम
garden,बगीचा
race,जाति
per,प्रति
individual,व्यक्तिगत
sitting,बैठक
learn,सीखना
political,राजनीतिक
bit,काटा
speech,भाषण
Henry,हेनरी
lie,लेट जाना
cast,फेंकना
eat,खाना खा लो
authority,प्राधिकरण
etc.,आदि।
floor,मंज़िल
ill,बीमार
ways,तरीके
officers,अधिकारियों
offered,की पेशकश की
original,मूल
happiness,ख़ुशी
flowers,पुष्प
produced,प्रस्तुत
summer,गर्मी
provide,प्रदान करना
study,अध्ययन
religion,धर्म
picture,चित्र
walls,दीवारों
America,अमेरिका
watch,घड़ी
pleased,प्रसन्न
leaves,पत्तियाँ
hot,गरम
understood,समझ लिया
effort,कोशिश
prepared,तैयार
escape,बच निकलना
attempt,कोशिश करना
supposed,कल्पित
killed,मारे गए
fast,तेज़
author,लेखक
brown,भूरा
determined,निर्धारित
spring,वसंत
takes,लेता है
drawn,अनिर्णित
soldiers,सैनिकों
houses,मकानों
beneath,नीचे
talking,बात कर रहे
turning,मोड़
century,सदी
steps,कदम
intended,अभीष्ट
soft,मुलायम
straight,सीधा
matters,मामलों
likely,संभावित
corner,कोना
trademark,ट्रेडमार्क
justice,न्याय
simply,केवल
produce,उत्पाद
trust,विश्वास
appears,दिखाई पड़ना
Rome,रोम
forget,भूल जाओ
passage,रास्ता
eight,आठ
closed,बंद किया हुआ
ourselves,हम स्वयं
gives,देता है
dress,पोशाक
passing,मृत्यु
terrible,भयानक
required,आवश्यक
medium,मध्यम
sake,खातिर
breath,सांस
wise,having or showing experience or knowledge and good judgement or sensible or prudent
ladies,महिलाओं
possession,स्वामित्व
pleasant,सुखद
perfectly,पूरी तरह से
o',o '
memory,स्मृति
usually,आमतौर पर
grave,गंभीर
fixed,हल किया गया
troops,सैनिकों
rise,वृद्धि
break,टूटना
fifty,पचास
meeting,बैठक
camp,शिविर
nation,राष्ट्र
existence,अस्तित्व
I'd,पहचान
copies,प्रतियां
sky,आकाश
touch,स्पर्श
equal,बराबर
fortune,सौभाग्य
v.,वी
shore,किनारा
domain,कार्यक्षेत्र
named,नामित
situation,परिस्थिति
looks,दिखता है
promise,पक्का वादा
orders,आदेश
degree,डिग्री
middle,मध्यम
winter,सर्दी
plan,योजना
spent,खर्च किया
pale,फीका
conduct,आचरण
running,दौड़ना
surprise,आश्चर्य
minute,मिनट
cases,मामलों
shot,गोली मारना
move,कदम
names,नाम
Word,शब्द
et,एट
worse,और भी बुरा
built,बनाना
spoken,बोली जाने
glass,कांच
vain,व्यर्थ
affairs,कार्य
instance,उदाहरण
safe,सुरक्षित
loss,हानि
doctor,चिकित्सक
class,कक्षा
complete,पूरा
access,पहुँच
lower,निचला
wouldn't,नहीं
repeated,दोहराया गया
forms,फार्म
darkness,अंधेरा
military,सैन्य
warm,गरम
drink,पीना
passion,जोश
ones,लोगों
physical,शारीरिक
example,उदाहरण
ears,कान
questions,प्रशन
start,प्रारंभ
lying,लेटा हुआ
smiled,मुस्कराए
keeping,रखना
spite,विरोध
shown,पता चला
directly,सीधे
james,जेम्स
hart,हिरन
serious,गंभीर
hat,टोपी
dog,कुत्ता
silver,चांदी
sufficient,पर्याप्त
main,मुख्य
mentioned,उल्लिखित
servant,नौकर
pride,गौरव
crowd,जन सैलाब
train,रेल गाडी
moral,नैतिक
instant,तुरंत
associated,संबद्ध
path,रास्ता
meaning,अर्थ
fit,उपयुक्त
ordered,आदेश दिया
lot,बहुत
he's,वह है
proved,साबित
obliged,बाध्य
enter,प्रवेश करना
rule,नियम
sword,तलवार
attack,हमला
seat,सीट
game,खेल
health,स्वास्थ्य
paragraph,अनुच्छेद
statement,बयान
refund,धनवापसी
sorry,माफ़ करना
members,सदस्यों
grace,कृपा
official,अधिकारी
dream,सपना
worthy,योग्य
rock,चट्टान
jack,जैक
provided,बशर्ते
special,विशेष
shook,हिलाया
request,अनुरोध
mighty,ताकतवर
glance,नज़र
heads,सिर
movement,गति
fee,शुल्क
share,शेयर करना
expect,अपेक्षा करना
couldn't,नहीं कर सका
dollars,डॉलर
spread,फैला हुआ
opposite,विलोम
glory,वैभव
twelve,बारह
space,अंतरिक्ष
engaged,व्यस्त
peter,पीटर
wine,शराब
ordinary,साधारण
taste,स्वाद
iron,लोहा
isn't,नहीं है
trade,व्यापार
consider,विचार करना
greatly,बहुत
accepted,को स्वीकृत
advantage,फायदा
ideas,विचारों
decided,निर्णय लिया
using,का उपयोग करते हुए
officer,अफ़सर
rate,भाव
clothes,कपड़े
sign,संकेत
feelings,भावना
native,देशी
promised,वादा किया
judge,न्यायाधीश
difference,अंतर
working,कार्यरत
anxious,चिंतित
marry,शादी कर
captain,कप्तान
extent,क्षेत्र
watched,देखा
curious,जिज्ञासु
foreign,विदेशी
besides,के अतिरिक्त
method,तरीका
excellent,अति उत्कृष्ट
confidence,आत्मविश्वास
marked,चिह्नित
em,एम
jesus,यीशु
exactly,बिल्कुल
importance,महत्त्व
finally,आखिरकार
bill,बिल
vast,बहुत बड़ा
prove,सिद्ध करना
fancy,कल्पना
quick,झटपट
yes,हां
sought,मांग की
prevent,रोकना
neck,गरदन
hearts,दिल
liberty,स्वतंत्रता
interesting,दिलचस्प
sides,पक्षों
legal,कानूनी
gentlemen,सज्जनों
serve,सेवा कर
aside,अलग
pure,शुद्ध
concerning,विषय में
lose,खोना
powers,शक्तियों
possessed,अधीन
thrown,फेंक दिया
distant,दूरस्थ
Michael,माइकल
similar,एक जैसा
narrow,संकीर्ण
altogether,कुल मिलाकर
building,इमारत
page,पृष्ठ
particularly,विशेषतया
knowing,ज्ञान
weeks,हफ्तों
settled,बसे हुए
holding,पकड़े
mountain,पहाड़
search,तलाशी
sad,उदास
lies,झूठ
proud,गर्व
pieces,टुकड़े
clearly,स्पष्ट रूप से
price,कीमत
ships,जहाजों
thirty,तीस
sick,बीमार
honest,ईमानदार
shut,बंद करना
talked,बातचीत की
fate,भाग्य
dropped,छोड़ा हुआ
judgment,प्रलय
conditions,स्थितियाँ
king's,किंग्स
accept,मानना
hills,हिल्स
removed,निकाला गया
forest,वन
measure,मापना
otherwise,अन्यथा
stream,धारा
honor,सम्मान
carefully,सावधानी से
obtained,पाया हुआ
ear,कान
bread,रोटी
bottom,नीचे
additional,अतिरिक्त
aid,सहायता
q,क्यू
remembered,याद आई
choose,चुनें
agreed,मान गया
animal,जानवर
events,आयोजन
fully,पूरी तरह से
delight,आनंद
rights,अधिकार
amount,रकम
obtain,प्राप्त
tax,कर
servants,नौकरों
sons,बेटों
shoulders,कंधों
thick,मोटा
points,अंक
woods,वुड्स
facts,तथ्य
dare,हिम्मत
grow,बढ़ना
hung,त्रिशंकु
rain,वर्षा
FALSE,असत्य
tall,लंबा
gate,दरवाज़ा
nations,राष्ट्र का
created,बनाया था
refused,मना कर दिया
quietly,चुपचाप
surface,सतह
freely,आज़ादी से
holy,पवित्र
streets,सड़कों
blow,फुंक मारा
july,जुलाई
regarded,माना
fashion,फ़ैशन
report,रिपोर्ट good
coast,तट
file,फ़ाइल
shoulder,कंधा
surprised,आश्चर्य चकित
faces,चेहरे के
succeeded,सफल हुए
royal,शाही
song,गाना
wealth,संपत्ति
comfort,आराम
failed,असफल
freedom,स्वतंत्रता
peculiar,विचित्र
anyone,किसी को
advance,अग्रिम
gentle,सज्जन
surely,निश्चित रूप से
animals,जानवरों
waited,प्रतीक्षा की
secure,सुरक्षित
grass,घास
touched,छुआ
occupied,व्यस्त
draw,चित्र बनाना
stage,मंच
expressed,व्यक्त
opening,प्रारंभिक
spirits,आत्माओं
fish,मछली
tongue,जुबान
capital,राजधानी
angry,नाराज़
growing,बढ़ रही है
carriage,सवारी डिब्बा
weather,मौसम
breast,स्तन
presently,इस समय
David,डेविड
papers,पत्रों
necessity,ज़रूरत
practice,अभ्यास
claim,दावा
hast,ने
education,शिक्षा
prince,राजकुमार
permitted,अनुमति है
group,समूह
enemies,दुश्मनों
robert,रॉबर्ट
played,खेला
pity,दया
expense,व्यय
yours,आपका अपना
million,दस लाख
add,जोड़ें
pray,प्रार्थना करना
explained,व्याख्या की
tired,थका हुआ
leading,प्रमुख
kill,मारना
shadow,साया
companion,साथी
weight,वजन
mass,द्रव्यमान
established,स्थापित
suffered,का सामना करना पड़ा
gray,स्लेटी
brave,बहादुर
thin,पतला
satisfied,संतुष्ट
check,जांच
virtue,गुण
numerous,बहुत
frequently,बार-बार
famous,प्रसिद्ध
telling,कह
powerful,ताकतवर
alive,जीवित
waters,वाटर्स
national,राष्ट्रीय
weak,कमज़ोर
divine,दिव्य
material,सामग्री
principal,प्रधानाचार्य
gathered,इकट्ठा
suggested,सुझाव दिया
frank,स्पष्टवादी
guess,अनुमान लगाना
finding,खोज
yellow,पीला
heat,गर्मी
remains,खंडहर
bent,झुका हुआ
seized,जब्त
guard,रक्षक
equally,समान रूप से
naturally,सहज रूप में
box,डिब्बा
remarkable,उत्कृष्ट
gods,भगवान का
moon,चांद
style,शैली
pointed,नुकीला
saved,बचाया
crossed,पार
louis,लुइस
pounds,पौंड
ain't,नहीं है
evidently,ज़रूर
principle,सिद्धांत
immediate,तुरंत
willing,इच्छुक
consequence,परिणाम
richard,रिचर्ड
principles,सिद्धांतों
characters,पात्र
paul,पॉल
season,मौसम
remarked,टिप्पणी की
science,विज्ञान
tender,निविदा
worked,काम
grown,वयस्क
whispered,फुसफुसाया हुआ
interested,दिलचस्पी लेने वाला
midst,बीच
liked,पसंद किया
advanced,विकसित
apparently,जाहिरा तौर पर
bore,उबा देना
pwh,प्रातोपण
active,सक्रिय
aware,अवगत
thomas,थॉमस
uncle,चाचा
list,सूची
dangerous,खतरनाक
august,अगस्त
genius,प्रतिभावान
sacred,पवित्र
popular,लोकप्रिय
unknown,अनजान
nice,अच्छा
habit,आदत
spanish,स्पैनिश
familiar,परिचित
reader,रीडर
published,प्रकाशित
direct,प्रत्यक्ष
handsome,आकर्षक
you'll,आप
joined,में शामिल हो गए
actually,वास्तव में
kings,राजाओं
sd,एसडी
posted,की तैनाती
approach,दृष्टिकोण
Washington,वाशिंगटन
needed,आवश्यकता है
walking,टहलना
twice,दो बार
throw,फेंकना
intellectual,बौद्धिक
appointed,नियुक्त
wisdom,बुद्धि
ceased,रह गए हैं
truly,सही मायने में
numbers,नंबर
demanded,मांग की
priest,पुजारी
wounded,घायल
sorrow,दुख
fault,दोष
palace,महल
affair,चक्कर
contact,संपर्क Ajay करें
distinguished,विशिष्ट
station,स्टेशन
beat,हराना
e,इ
listen,सुनना
Italy,इटली
fool,बुद्धू
becomes,हो जाता है
watching,देख रहे
hurt,आहत
wants,चाहता हे
express,अभिव्यक्त करना
occurred,हुआ
favour,एहसान
height,कद
size,आकार
edge,किनारा
subjects,विषयों
follows,इस प्रकार
sympathy,सहानुभूति
burst,फोड़ना
putting,डाल
dressed,सजे
lifted,उठा लिया
hopes,आशाएँ
suffer,भुगतना
noise,शोर
smiling,मुस्कराते हुए
rode,रोडे
tells,कहता है
minds,मन
farther,आगे
literature,साहित्य
vessel,पतीला
affection,स्नेह
suffering,कष्ट
proceeded,रवाना
flesh,माँस
advice,सलाह
grand,बड़ा
carrying,ले जाने
legs,लेग्स
Spain,स्पेन
post,पद
empty,खाली
rank,पद
storm,आंधी
god's,भगवान का
imagine,कल्पना करना
wore,पहनी थी
duties,कर्तव्य
admitted,स्वीकार किया
countries,देशों
pocket,जेब
arrival,आगमन
imagination,कल्पना
driven,चलाया हुआ
loud,ऊँचा स्वर
sentence,वाक्य
lovely,प्यारा
November,नवंबर
December,दिसंबर
happen,होना
absence,अनुपस्थिति
breakfast,सुबह का नाश्ता
population,आबादी
thank,धन्यवाद देना
rules,नियम
inhabitants,निवासियों
series,श्रृंखला
laughing,हँसना
address,पता
relief,राहत
bird,चिड़िया
owner,मालिक
impression,प्रभाव जमाना
satisfaction,संतुष्टि
coat,परत
prepare,तैयार
relations,संबंधों
shape,आकार
birth,जन्म
rapidly,तेज़ी से
smoke,धुआँ
January,जनवरी
machine,मशीन
content,विषय
consideration,सोच-विचार
accompanied,के साथ
regular,नियमित
moving,चलती
stands,खड़ा
wholly,पूर्ण
teeth,दांत
busy,व्यस्त
treated,इलाज
burning,जलता हुआ
shame,शर्म
quality,गुणवत्ता
bay,खाड़ी
discover,खोज करना
inside,अंदर
brain,दिमाग
soil,धरती
completely,पूरी तरह
message,संदेश
ring,अंगूठी
resolved,हल किया
phrase,मुहावरा
acts,अधिनियमों
mention,उल्लेख
square,वर्ग
pair,जोड़ा
won,जीत लिया
title,शीर्षक
understanding,समझ
Sunday,रविवार
fruit,फल
mad,पागल
forces,ताकतों
included,शामिल
tea,चाय
rocks,चट्टानों
nearer,नजदीक
slaves,दास
falling,गिर रहा है
absolutely,बिल्कुल
slow,धीमा
bearing,सहनशीलता
larger,बड़ा
explain,समझाना
contain,शामिल होना
grief,शोक
soldier,फोजी
wasn't,नहीं था
countenance,मुखाकृति
previous,पिछला
explanation,व्याख्या
welcome,स्वागत हे
proposed,प्रस्तावित
prayer,प्रार्थना
stars,सितारे
Germany,जर्मनी
belief,विश्वास
moments,क्षणों
poetry,शायरी
constant,लगातार
buy,खरीदना
final,अंतिम
faithful,वफ़ादार
ride,सवारी
policy,नीति
supper,खाना
drawing,चित्रकारी
excitement,उत्साह
dying,मरना
demand,मांग
fighting,लड़ाई करना
fields,खेत
drove,गल्ला
upper,अपर
sum,जोड़
Philip,फिलिप
motion,गति
assistance,सहायता
April,अप्रैल
stones,स्टोन्स
Edward,एडवर्ड
fees,फीस
kindly,कृपया
dignity,गौरव
catch,पकड़
October,अक्टूबर
seated,आसीन
knees,घुटनों
amongst,बीच में
current,वर्तमान
sending,भेजना
parties,दलों
objects,वस्तुओं
gained,प्राप्त की
bitter,कसैला
possibly,संभवत:
slave,दास
separate,अलग
loose,ढीला
text,मूलपाठ
receiving,प्राप्त
sold,बेचा
don,डॉन
credit,श्रेय
chosen,चुना
printed,मुद्रित
terror,आतंक
features,विशेषताएँ
fond,प्रिय
control,नियंत्रण
capable,योग्य
fifteen,पंद्रह
doesn't,नहीं है
firm,दृढ़
superior,बेहतर
cruel,निर्दयी
spiritual,आध्यात्मिक
Harry,सताना
splendid,उत्कृष्ट
proof,सबूत
pressed,दब गया
sooner,पहले
join,जोड़ना
process,प्रक्रिया
crime,अपराध
dust,धूल
instantly,हाथों हाथ
lands,भूमि
doors,दरवाजे
concerned,सम्बंधित
deeply,गहरा
practical,व्यावहारिक
colour,रंग
sing,गाओ
destroy,नष्ट करना
anger,क्रोध
results,परिणाम
increase,बढ़ोतरी
reasons,कारणों
nose,नाक
friendly,दोस्ताना
entrance,प्रवेश
rooms,कमरा
admit,भर्ती होना
supply,आपूर्ति
useful,उपयोगी
yesterday,कल
delicate,नाज़ुक
fail,विफल
continue,जारी रखें
remove,हटाना
addressed,संबोधित
choice,पसंद
huge,विशाल
wear,घिसाव
blind,अंधा
unable,असमर्थ
cover,ढकना
double,दोहरा
victory,विजय
dozen,दर्जन
constantly,लगातार
level,स्तर
India,भारत
release,रिहाई
rough,खुरदुरा
ended,समाप्त
fly,उड़ना
praise,प्रशंसा
ahead,आगे
smith,लोहार
connected,जुड़े हुए
degrees,डिग्री
gain,बढ़त
addition,योग
committed,प्रतिबद्ध
chamber,कक्ष
notes,टिप्पणियाँ
Italian,इतालवी
gradually,धीरे-धीरे
acquaintance,जान-पहचान
bought,खरीद लिया
souls,आत्माओं
mission,मिशन
sacrifice,बलिदान
cities,शहरों
mistake,गलती
exercise,व्यायाम
conscience,अंतरात्मा की आवाज
